ShopperID,FirstName,LastName,Gender,Birthdate,StreetAddress,City,State,PostalCode,Telephone,Email
,Phillipp,Tatterton,N,8/9/1965,57 Almo Way,Grand Junction,CO,81505,9708757116,ptatterton0@aol.com
,Virgina,Waslin,F,1/11/1999,21 Esch Court,Denver,CO,80249,7202647652,vwaslin1@indiegogo.com
,Lyndsey,Laird-Craig,F,2/11/1978,85378 Forest Run Way,Boulder,CO,80310,3032574979,llairdcraig2@globo.com
,Verine,Durand,F,11/20/2000,4 Carpenter Crossing,Denver,CO,80255,3037803712,vdurand3@hexun.com
,Jacques,MacGowing,M,5/10/1999,75260 Forest Run Pass,Grand Junction,CO,81505,9701233415,jmacgowing4@cnet.com
,Edna,Hudd,F,8/9/1989,4911 Wayridge Parkway,Littleton,CO,80161,3034258082,ehudd5@wisc.edu
,Hilde,Fuster,F,8/7/1968,10222 Claremont Place,Aurora,CO,80044,3037106020,hfuster6@skype.com
,Persis,Gorham,F,5/23/1971,86891 Browning Park,Aurora,CO,80045,3035405364,pgorham7@furl.net
,Linc,Clayworth,M,12/27/1962,1959 Norway Maple Park,Littleton,CO,80127,7205056661,lclayworth8@goodreads.com
,Chryste,Lafranconi,F,6/23/1998,08 Chive Street,Aurora,CO,80045,3038000199,clafranconi9@adobe.com
